item_key,merchant,web_categories,l1,l2,l3,gender,primary_fop,sub_sport,l1_validated,l2_validated,l3_validated,gender_validated,primary_fop_validated,sub_sport_validated,corrected_columns,reasoning
dicks_sporting_goods_shoes_men's shoes_athletic shoes_men's lifestyle sneakers_sneakers_yeezy_yeezy boost 350 v2 cloud white,dicks_sporting_goods,shoes > men's shoes > athletic shoes > men's lifestyle sneakers > sneakers,Footwear,,,Men's,sportswear,sportswear_running,Footwear,,,Men's,sportswear,sportswear_running,[],The current classifications are correct. The product is a lifestyle sneaker (Yeezy Boost 350 V2) which fits the 'sportswear' FoP with 'sportswear_running' as the sub-sport due to its running-inspired design. The gender is correctly identified as 'Men's' based on the web categories and item key.
nike_women_apparel_lifestyle_nike_nike sportswear gym vintage women's full-zip hoodie,nike,women > apparel > lifestyle,Apparel,Jackets & Outerwear,,Women's,gymnastics,,Apparel,Tops,Fleece Tops,Women's,sportswear,,"[""l2"", ""l3"", ""primary_fop""]","The item is a hoodie, which falls under 'Tops' in L2, specifically 'Fleece Tops' in L3 due to its cozy/warmth-focused nature. The primary FoP should be 'sportswear' as it is a lifestyle/casual athletic-inspired apparel, not gymnastics."
nordstrom_women_bras & bralettes____true & co. true body triangle convertible strap bralette,nordstrom,women > bras & bralettes >  >  > ,Apparel,Bras,,Women's,sportswear,,Apparel,Other Apparel,,Women's,sportswear,,"[""l2""]","The product is a bralette, which is excluded from the 'Bras' category. It should be classified under 'Other Apparel' as it doesn't fit any specific L2 category."
foot_locker_clothing_jackets_jackets_lckr_lckr varsity jacket - men's,foot_locker,clothing > jackets > jackets,Apparel,Jackets & Outerwear,,Men's,tennis,,Apparel,Jackets & Outerwear,Jackets,Men's,sportswear,,"[""l3"", ""primary_fop""]","The item is a varsity jacket, which fits the 'Jackets' category under L3 for 'Jackets & Outerwear'. The primary FoP should be 'sportswear' as varsity jackets are typically lifestyle/casual wear, not performance tennis apparel."
nordstrom_shoes_sandals_women_eurosoft_sp wmns ut: bonelle:black sheep na,nordstrom,shoes > sandals > women,Footwear,,,Women's,lacrosse,training_other,Footwear,,,Women's,outdoor_sandals,,"[""primary_fop"", ""sub_sport""]","The product is a sandal, as indicated by the item key and web categories. The correct FoP is 'outdoor_sandals' for sandals with strap systems, not 'lacrosse'. Sub-sport is not applicable for 'outdoor_sandals', so it should be 'null'."
nordstrom_clothing_sweatshirts & hoodies_alo_alo alosoft visionary hooded pullover,nordstrom,clothing > sweatshirts & hoodies,Apparel,Tops,Other Bottoms,Men's,basketball,,Apparel,Tops,Fleece Tops,Unisex/Undefined,sportswear,,"[""l3"", ""gender"", ""primary_fop""]","The product is a hooded pullover, which fits the 'Fleece Tops' category under L3 for Tops. The gender was corrected to 'Unisex/Undefined' as there are no specific gender indicators. The primary FoP was corrected to 'sportswear' as the product is a casual, lifestyle item."
kohls_mens_clothing_tops_tops & tees_tommy hilfiger_tommy hilfiger_men's tommy hilfiger logo quarter-zip top,kohls,mens > clothing > tops > tops & tees > tommy hilfiger,Apparel,Tops,,Men's,rugby,,Apparel,Tops,Fleece Tops,Men's,sportswear,,"[""l3"", ""primary_fop""]","The product is a 'Men's Tommy Hilfiger Logo Quarter-Zip Top', which fits the L3 category 'Fleece Tops' due to the quarter-zip style often being associated with fleece or pullover tops. The primary FoP should be 'sportswear' as the item is a casual top suitable for everyday wear, not specific to rugby."
scheels_sneakers & athletic shoes_brooks_men's brooks beast gts 24 running shoes,scheels,sneakers & athletic shoes,Footwear,,,Men's,running,road_running,Footwear,,,Men's,running,road_running,[],"The current classifications are correct. The product is a men's running shoe, specifically for road running, which aligns with the provided classifications."
kohls_mens_kids_active_footwear_nike_nike revolution 5 toddler sneakers,kohls,mens > kids > active > footwear,Footwear,,,Men's,tennis,outdoor_soccer,Footwear,,,Kids,sportswear,,"[""gender"", ""primary_fop"", ""sub_sport""]","The item is a toddler sneaker, indicating it is for children, so the gender should be 'Kids'. The primary FoP should be 'sportswear' as it is a casual sneaker, not specifically for tennis or outdoor soccer. Sub-sport is not applicable for 'sportswear' in this context."
academy_sports_apparel_mens apparel_mens shorts_mens athletic shorts_adidas m short,academy_sports,apparel > mens apparel > mens shorts > mens athletic shorts,Apparel,Bottoms,Shorts,Men's,volleyball,,Apparel,Bottoms,Shorts,Men's,training,cross_training,"[""primary_fop"", ""sub_sport""]","The product is men's athletic shorts, which are more aligned with training activities rather than volleyball-specific apparel. Therefore, the primary FoP should be 'training' with a sub-sport of 'cross_training' due to the general athletic context."
